step,energy
0,-26.7168029110007
1,-26.400636112717986
2,-31.035858928006522
3,-31.18635125848769
4,-31.33932665719745
5,-30.909682808882764
6,-30.893587792776863
7,-31.173373295695942
8,-32.9968770655055
9,-32.522526185457224
10,-32.9968770655055
11,-28.040272748105288
12,-29.65229940839359
13,-30.810687847049998
14,-30.525563264881548
15,-30.6047327434941
16,-28.371737486660642
17,-26.276432645208075
18,-26.724135766999712
19,-28.371737486660642
20,-30.32307664400166
21,-30.32307664400166
22,-30.533921181269214
23,-30.724987873802874
24,-30.752617898867825
25,-31.06284010525063
26,-30.57807812068388
27,-30.316072241034387
28,-30.747078547988007
29,-25.76534120065525
30,-28.62766161240939
31,-31.639894880128253
32,-32.1420754946962
33,-32.1420754946962
34,-31.486387130492325
35,-31.486387130492325
36,-31.916510289158914
37,-31.987675276896745
38,-32.39654860576034
39,-31.494102544530463
40,-32.9968770655055
41,-32.75626288942992
42,-32.9968770655055
43,-30.546503109563982
44,-30.87933182954747
45,-33.90251621715454
46,-33.12875011288627
47,-33.512572561072346
48,-31.842433598669395
49,-30.871921331040937
50,-31.39299802187113
51,-32.215865526502284
52,-33.026208430176965
53,-33.41564355658895
54,-33.271893828580154
55,-33.271893828580154
56,-32.489508213348564
57,-31.780430497897484
58,-33.10753540406176
59,-32.61543908494188
60,-31.842433598669395
61,-31.842433598669395
62,-31.842433598669395
63,-33.512572561072346
64,-32.60150378021877
65,-33.41564355658895
66,-33.080924742461605
67,-33.00984262290837
68,-32.5356420706739
69,-33.41575003041355
70,-32.786540798782994
71,-32.69820412760609
72,-32.39727487260478
73,-31.98838722783343
74,-33.067988180781754
75,-33.51347430842078
76,-32.99692976731226
77,-32.9968770655055
78,-32.9968770655055
79,-32.99692976731226
80,-33.90251621715454
81,-33.90251621715454
82,-33.90251621715454
83,-33.00984262290837
84,-33.41564355658895
85,-33.080924742461605
86,-32.22532628591695
87,-33.080924742461605
88,-33.90251621715454
89,-33.015516207997734
90,-32.571951960093955
91,-32.571951960093955
92,-33.015516207997734
93,-33.41564355658895
94,-33.271893828580154
95,-33.271893828580154
96,-33.90251621715454
97,-33.51347430842078
98,-33.09986082150859
99,-33.51347430842078
100,-33.51347430842078
101,-33.51347430842078
102,-33.51347430842078
103,-32.69759089977196
104,-33.09986082150859
105,-32.583018161877604
106,-31.649113681961126
107,-32.830985169402666
108,-32.830985169402666
109,-32.1529180286266
110,-32.83659420077889
111,-33.11275899256961
112,-33.512572561072346
113,-32.73621303774838
114,-33.512572561072346
115,-33.90251621715454
116,-33.90251621715454
117,-33.512572561072346
118,-33.512572561072346
119,-33.512572561072346
120,-33.10753540406176
121,-33.41564355658895
122,-33.41564355658895
123,-32.78580021928106
124,-33.90251621715454
125,-33.90251621715454
126,-33.41575003041355
127,-33.27195716538915
128,-33.163740160826066
129,-33.163740160826066
130,-33.27195716538915
131,-33.686484323558574
132,-33.686484323558574
133,-33.512572561072346
134,-33.52635637540043
135,-33.52635637540043
136,-33.52635637540043
137,-33.52635637540043
138,-33.52635637540043
139,-33.52635637540043
140,-33.52635637540043
141,-33.52635637540043
142,-33.52635637540043
143,-33.90251621715454
144,-33.90251621715454
145,-33.38299209026003
146,-33.03400277442722
147,-33.03400277442722
148,-33.370176866379715
149,-32.87206378688957
150,-33.51347430842078
151,-33.51347430842078
152,-33.51347430842078
153,-33.90251621715454
154,-33.41575003041355
155,-33.90251621715454
156,-33.90251621715454
157,-33.90251621715454
158,-33.90251621715454
159,-33.90251621715454
160,-33.90251621715454
161,-33.90251621715454
162,-33.90251621715454
163,-33.90251621715454
164,-33.90251621715454
165,-33.686484323558574
166,-33.686484323558574
167,-33.90251621715454
168,-33.90251621715454
169,-33.90251621715454
170,-33.41575003041355
171,-33.90251621715454
172,-33.90251621715454
173,-33.90251621715454
174,-33.90251621715454
175,-33.90251621715454
176,-33.90251621715454
177,-33.90251621715454
178,-33.90251621715454
179,-33.90251621715454
180,-33.90251621715454
181,-33.90251621715454
182,-33.512572561072346
183,-33.512572561072346
184,-33.512572561072346
185,-33.512572561072346
186,-33.90251621715454
187,-33.90251621715454
188,-33.686484323558574
189,-33.686484323558574
190,-33.686484323558574
191,-33.51347430842078
192,-33.51347430842078
193,-33.51347430842078
194,-33.90251621715454
195,-33.90251621715454
196,-33.90251621715454
197,-33.686484323558574
198,-33.686484323558574
199,-33.686484323558574
200,-33.686484323558574
201,-33.90251621715454
202,-33.90251621715454
203,-33.90251621715454
204,-33.90251621715454
205,-33.90251621715454
206,-33.90251621715454
207,-33.90251621715454
208,-33.90251621715454
209,-33.90251621715454
210,-33.90251621715454
211,-33.90251621715454
212,-33.90251621715454
213,-33.90251621715454
214,-33.90251621715454
215,-33.90251621715454
216,-33.90251621715454
217,-33.90251621715454
218,-33.90251621715454
219,-33.90251621715454
220,-33.90251621715454
221,-33.90251621715454
222,-33.90251621715454
223,-33.90251621715454
224,-33.90251621715454
225,-33.90251621715454
226,-33.90251621715454
227,-33.90251621715454
228,-33.686484323558574
229,-33.686484323558574
230,-33.686484323558574
231,-33.686484323558574
232,-33.686484323558574
233,-33.686484323558574
234,-33.686484323558574
235,-33.686484323558574
236,-33.686484323558574
237,-33.686484323558574
238,-33.686484323558574
239,-33.686484323558574
240,-33.90251621715454
241,-33.90251621715454
242,-33.90251621715454
243,-33.90251621715454
244,-33.90251621715454
245,-33.90251621715454
246,-33.90251621715454
247,-33.90251621715454
248,-33.90251621715454
249,-33.90251621715454
250,-33.90251621715454
251,-33.90251621715454
252,-33.90251621715454
253,-33.90251621715454
254,-33.90251621715454
255,-33.90251621715454
256,-33.90251621715454
257,-33.90251621715454
258,-33.90251621715454
259,-33.90251621715454
260,-33.90251621715454
261,-33.90251621715454
262,-33.90251621715454
263,-33.90251621715454
264,-33.90251621715454
265,-33.90251621715454
266,-33.90251621715454
267,-33.90251621715454
268,-33.90251621715454
269,-33.90251621715454
270,-33.90251621715454
271,-33.90251621715454
272,-33.90251621715454
273,-33.90251621715454
274,-33.90251621715454
275,-33.90251621715454
276,-33.90251621715454
277,-33.90251621715454
278,-33.90251621715454
279,-33.90251621715454
280,-33.90251621715454
281,-33.90251621715454
282,-33.90251621715454
283,-33.90251621715454
284,-33.90251621715454
285,-33.90251621715454
286,-33.90251621715454
287,-33.90251621715454
288,-33.90251621715454
289,-33.90251621715454
290,-33.90251621715454
291,-33.90251621715454
292,-33.90251621715454
293,-33.90251621715454
294,-33.90251621715454
295,-33.90251621715454
296,-33.90251621715454
297,-33.90251621715454
298,-33.90251621715454
299,-33.90251621715454
300,-33.90251621715454
301,-33.90251621715454
302,-33.90251621715454
303,-33.90251621715454
304,-33.90251621715454
305,-33.90251621715454
306,-33.90251621715454
307,-33.90251621715454
308,-33.90251621715454
309,-33.90251621715454
310,-33.90251621715454
311,-33.90251621715454
312,-33.90251621715454
313,-33.90251621715454
314,-33.90251621715454
315,-33.90251621715454
316,-33.90251621715454
317,-33.90251621715454
318,-33.90251621715454
319,-33.90251621715454
320,-33.90251621715454
321,-33.90251621715454
322,-33.90251621715454
323,-33.90251621715454
324,-33.90251621715454
325,-33.90251621715454
326,-33.90251621715454
327,-33.90251621715454
328,-33.90251621715454
329,-33.90251621715454
330,-33.90251621715454
331,-33.90251621715454
332,-33.90251621715454
333,-33.90251621715454
334,-33.90251621715454
335,-33.90251621715454
336,-33.90251621715454
337,-33.90251621715454
338,-33.90251621715454
339,-33.90251621715454
340,-33.90251621715454
341,-33.90251621715454
342,-33.90251621715454
343,-33.90251621715454
344,-33.90251621715454
345,-33.90251621715454
346,-33.90251621715454
347,-33.90251621715454
348,-33.90251621715454
349,-33.90251621715454
350,-33.90251621715454
351,-33.90251621715454
352,-33.90251621715454
353,-33.90251621715454
354,-33.90251621715454
355,-33.90251621715454
356,-33.90251621715454
357,-33.90251621715454
358,-33.90251621715454
359,-33.90251621715454
360,-33.90251621715454
361,-33.90251621715454
362,-33.90251621715454
363,-33.90251621715454
364,-33.90251621715454
365,-33.90251621715454
366,-33.90251621715454
367,-33.90251621715454
368,-33.90251621715454
369,-33.90251621715454
370,-33.90251621715454
371,-33.90251621715454
372,-33.90251621715454
373,-33.90251621715454
374,-33.90251621715454
375,-33.90251621715454
376,-33.90251621715454
377,-33.90251621715454
378,-33.90251621715454
379,-33.90251621715454
380,-33.90251621715454
381,-33.90251621715454
382,-33.90251621715454
383,-33.90251621715454
384,-33.90251621715454
385,-33.90251621715454
386,-33.90251621715454
387,-33.90251621715454
388,-33.90251621715454
389,-33.90251621715454
390,-33.90251621715454
391,-33.90251621715454
392,-33.90251621715454
393,-33.90251621715454
394,-33.90251621715454
395,-33.90251621715454
396,-33.90251621715454
397,-33.90251621715454
398,-33.90251621715454
399,-33.90251621715454
400,-33.90251621715454
401,-33.90251621715454
402,-33.90251621715454
403,-33.90251621715454
404,-33.90251621715454
405,-33.90251621715454
406,-33.90251621715454
407,-33.90251621715454
408,-33.90251621715454
409,-33.90251621715454
410,-33.90251621715454
411,-33.90251621715454
412,-33.90251621715454
413,-33.90251621715454
414,-33.90251621715454
415,-33.90251621715454
416,-33.90251621715454
417,-33.90251621715454
418,-33.90251621715454
419,-33.90251621715454
420,-33.90251621715454
421,-33.90251621715454
422,-33.90251621715454
423,-33.90251621715454
424,-33.90251621715454
425,-33.90251621715454
426,-33.90251621715454
427,-33.90251621715454
428,-33.90251621715454
429,-33.90251621715454
430,-33.90251621715454
431,-33.90251621715454
432,-33.90251621715454
433,-33.90251621715454
434,-33.90251621715454
435,-33.90251621715454
436,-33.90251621715454
437,-33.90251621715454
438,-33.90251621715454
439,-33.90251621715454
440,-33.90251621715454
441,-33.90251621715454
442,-33.90251621715454
443,-33.90251621715454
444,-33.90251621715454
445,-33.90251621715454
446,-33.90251621715454
447,-33.90251621715454
448,-33.90251621715454
449,-33.90251621715454
450,-33.90251621715454
451,-33.90251621715454
