config,exact_acc,near_acc,wrong_limb,limb_acc,avr,flip_rate,qap_energy
Plain QAP,31.141868512110726,61.5916955017301,22.83737024221453,43.529411764705884,22.426470588235293,17.647058823529413,-41.76500499618243
Lambda only,52.249134948096895,60.55363321799308,26.989619377162626,55.294117647058826,0.0,35.294117647058826,-38.78099354373218
Gamma only,59.86159169550172,77.8546712802768,13.84083044982699,64.70588235294117,0.0,5.88235294117647,-40.68320713976743
Both penalties,77.50865051903114,88.23529411764706,7.95847750865052,85.88235294117646,0.0,5.88235294117647,-38.81811482436037
Full method,78.54671280276816,87.5432525951557,8.650519031141869,85.88235294117646,0.0,5.88235294117647,-38.78099354373218
