config,exact_acc,limb_acc,flip_rate
Plain QAP,31.141868512110726,43.529411764705884,47.05882352941176
Lambda only,52.249134948096895,55.294117647058826,41.17647058823529
Gamma only,59.86159169550172,64.70588235294117,29.411764705882355
Both penalties,77.50865051903114,85.88235294117646,11.76470588235294
Lateral added,82.00692041522491,90.58823529411765,5.88235294117647
Full method,87.54325259515569,97.6470588235294,0.0
